id,faixa_etaria,experiencia_tech,frequencia_portal,contexto_acesso,perfil_comportamental,motivacao,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34
114,10 ou 11 anos,Usa computador regularmente,Acessa raramente,Só em casa,Indiferente,Curiosidade própria,10 ou 11 anos,Já usei algumas vezes,Computador ou notebook,Só em casa,Fico tentando sozinho até descobrir | Desisto e não uso aquela parte,Nunca prestei atenção nisso,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Nunca fui fundo no portal pra saber.,"Não uso o menu, prefiro clicar em outras coisas",Um pouco mais difícil de usar,Fico clicando nos menus até achar,Nunca tentei usar a busca,"Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)",Ia clicar em algum lugar até achar ou perguntaria pra alguém.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Procuro em outro site fora do portal | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar,"😐 Normal, já estou acostumado",Uma vez tentei achar uma atividade que o professor tinha falado e não encontrei. Desisti e perguntei pra um colega.,"Talvez, dependeria de como funciona",Não faria diferença,Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Não sei, nunca pensei muito nisso.","É um site da escola, dá pra usar quando precisar.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,normal
115,10 ou 11 anos,Usa computador regularmente,Acessa semanalmente,Só em casa,Indiferente,Obrigação (professor mandou),10 ou 11 anos,Uso toda semana,Computador ou notebook,Só em casa,Fico tentando sozinho até descobrir | Desisto e não uso aquela parte,Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Não lembro de nada específico.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Aulas (videoaulas, explicações)",Ia no menu de atividades e ficava procurando até achar algo de programação.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Desisto e não faço a tarefa | Peço ajuda para o professor,Clico em vários lugares e não abre nada | A página demora para carregar,"😐 Normal, já estou acostumado",Uma vez tentei achar uma atividade que o professor mandou e não consegui encontrar. Desisti e perguntei pra ele no dia seguinte.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Não sei, nada assim que eu lembre.",É um portal que a escola usa. Dá pra fazer as tarefas que o professor manda.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Continua igual,Normal
116,10 ou 11 anos,Usa só celular,Acessa raramente,Escola e casa,Curioso/explorador,Curiosidade própria,10 ou 11 anos,Já usei algumas vezes,Celular,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Procuro um vídeo ou tutorial,"Uma lista de matérias ou disciplinas | Não sei bem o que aparece, é confuso","🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Acho que tem uma parte de jogos ou desafios, mas nunca consegui achar onde fica.","Não sei onde fica o menu | Já me acostumei, mas no começo era difícil",Muito mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios | Trilhas (sequências de conteúdo para seguir)","Ia tentar usar a busca digitando 'programação' para ver o que aparece, e se não achasse ficava clicando nos menus.",Não sei a diferença,Fico procurando onde clicar por um tempo | Uso o botão 'voltar' do navegador,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Procuro em outro site fora do portal | Tento de novo mais tarde,Não encontro nem com a busca | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado",Uma vez tentei achar uma videoaula de matemática e fiquei clicando em vários lugares mas não encontrei. Acabei procurando no YouTube mesmo.,"Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante","Queria que tivesse jogos educativos, porque aprender brincando é muito mais legal.","Falaria que tem bastante coisa lá dentro, mas que demora um pouco para aprender a usar. Mas vale tentar explorar!","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,misterioso
117,10 ou 11 anos,Usa computador às vezes,Acessa semanalmente,"Escola pública, zona rural",Curioso/explorador,Gosta do conteúdo,10 ou 11 anos,Uso toda semana,Computador ou notebook,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Acho que tem um lugar pra ver minhas notas, mas nunca consegui achar. Já cliquei em vários lugares tentando descobrir, mas não apareceu.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios","Eu ia tentar digitar 'programação' na barra de busca primeiro. Se não aparecesse nada, ia clicar nas matérias uma por uma até encontrar a atividade.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Uso o botão 'voltar' do navegador,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por mais de 5 minutos,Tento de novo mais tarde | Peço ajuda para um colega,A página demora para carregar | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado","Uma vez a professora falou de uma atividade de ciências que estava no portal. Fiquei procurando bastante, tentei na busca e cliquei em várias partes, mas não achei. Aí pedi pra minha colega me ajudar e ela também demorou pra achar.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante",Queria que tivesse mais jogos e desafios pra fazer junto com os colegas. Acho que seria mais divertido se tivesse um jeito de competir ou comparar quem acertou mais.,"Falaria que tem bastante coisa legal lá, como vídeos e atividades das matérias. No começo é um pouquinho difícil de se achar, mas vale a pena explorar.","⭐⭐⭐ Médio, tem coisas boas e ruins",Provavelmente indicaria,Um pouco mais fácil,descoberta
118,10 ou 11 anos,Usa só celular,Acessa semanalmente,Só na escola,Tímido/dependente,Gosta do conteúdo,10 ou 11 anos,Uso toda semana,Celular,Só na escola,Peço ajuda para o professor | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,😕 Um pouco perdido,Mais ou menos claro,Acho que tem um lugar pra ver as notas mas nunca consegui achar.,Tem muitas opções e fico confuso,Um pouco mais difícil de usar,Peço para alguém me mostrar onde fica,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)",Ia pedir pra professora me mostrar onde fica.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Peço ajuda para um colega,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😞 Chateado, queria ter encontrado",Uma vez tentei achar uma atividade de programação e não consegui. Tive que pedir pra professora me ajudar a encontrar.,Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Queria que fosse mais fácil de achar as coisas sem precisar pedir ajuda.,"Tem conteúdo legal lá, mas às vezes é difícil de usar no celular.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,complicado
119,10 ou 11 anos,Heavy user digital,Acessa todo dia,Escola e casa,Indiferente,Curiosidade própria,10 ou 11 anos,Uso quase todo dia,"Uso em aparelhos diferentes, depende do dia",Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Acho que tem alguma coisa de jogos ou desafios mas nunca achei direito. Já tentei procurar algumas vezes mas desisti.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios","Ia direto na parte de atividades que já conheço. Se não achasse lá, tentaria procurar pelo nome na busca. Se não aparecesse nada, pediria para um colega me falar onde fica.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para um colega | Procuro em outro site fora do portal,Não encontro nem com a busca | Clico em vários lugares e não abre nada,"😐 Normal, já estou acostumado","Uma vez tentei achar uma atividade de matemática que a professora tinha mandado. Fui na busca, digitei o nome e não apareceu nada. Fui clicando nas matérias e também não achei. No final pedi para um colega me mostrar onde estava.",Provavelmente usaria,"Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | Ver o que eu acessei recentemente",Podia ter um atalho rápido para as atividades da semana logo na tela inicial. Às vezes demora para achar o que precisa fazer.,"Diria que dá para usar, mas tem que ter paciência no começo para aprender onde ficam as coisas.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,ok
120,10 ou 11 anos,Heavy user digital,Acessa todo dia,Escola e casa,Tímido/dependente,Gosta do conteúdo,10 ou 11 anos,Uso quase todo dia,"Uso em aparelhos diferentes, depende do dia",Tanto na escola quanto em casa,Peço ajuda para o professor | Peço ajuda para alguém em casa,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Acho que tem um lugar com materiais extras pra baixar, tipo apostilas, mas nunca achei direito. Já tentei clicar em vários lugares e não encontrei. No final sempre peço pro professor me falar onde fica.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)","Primeiro eu tentaria ir na parte de atividades que eu já conheço pra ver se aparece lá. Se não achasse, ia pedir pro professor me mostrar onde fica, porque às vezes os nomes das seções são difíceis de entender. Eu prefiro pedir ajuda do que ficar clicando em tudo e me perder.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Peço ajuda para um colega,Não encontro nem com a busca | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado",Uma vez o professor falou pra gente assistir um vídeo de ciências que estava no portal. Fiquei procurando na parte de vídeos mas não aparecia nada com aquele nome. Tentei usar a busca mas também não achei. No final tive que pedir pra minha mãe me ajudar e ela também demorou um tempão até encontrar. Foi bem chato porque eu queria ter feito sozinho.,"Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Ver o que eu acessei recentemente | A tela inicial mostrar só o que é mais importante","Eu queria que tivesse um botão de favoritos pra salvar as coisas que eu uso sempre, porque fico procurando toda vez. Também seria bom se tivesse um aviso quando o professor coloca uma atividade nova, porque às vezes não fico sabendo. E um chat dentro do portal pra poder perguntar pro professor sem precisar sair do portal seria muito útil pra mim.","Eu falaria que tem bastante coisa legal lá, especialmente os vídeos e as atividades. No começo pode parecer um pouco confuso achar tudo, mas depois que você aprende onde ficam as coisas fica mais fácil. Se tiver dúvida pode sempre pedir ajuda pro professor, porque sozinho às vezes é difícil mesmo.","⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,Um pouco mais fácil,confuso
121,10 ou 11 anos,Usa computador regularmente,Acessa semanalmente,"Escola pública, zona rural",Persistente/metódico,Gosta do conteúdo,10 ou 11 anos,Uso toda semana,Computador ou notebook,Só na escola,Fico tentando sozinho até descobrir | Peço ajuda para o professor,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,"Eu acho que tem uma parte de jogos ou atividades extras, mas nunca consegui encontrar. Já tentei procurar no menu várias vezes e não aparece nada.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas) | Trilhas (sequências de conteúdo para seguir)","Primeiro eu ia abrir o portal e clicar na parte de atividades para ver se aparecia algo de programação. Se não achasse ali, ia tentar digitar 'programação' na busca. Se ainda não encontrasse, eu esperaria a próxima aula para perguntar ao professor onde estava.","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece às vezes,"Não desisto, fico até achar",Tento de novo mais tarde | Peço ajuda para o professor,A página demora para carregar | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado","Uma vez o professor falou de uma videoaula de ciências que estava no portal e eu fui procurar. Cliquei em vários menus diferentes e não achei de primeira. Fui tentando com calma, abrindo uma aba de cada vez, até que encontrei numa parte que eu nunca tinha aberto antes.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,"Poder fixar atalhos rápidos na tela inicial | Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Ver o que eu acessei recentemente","Eu gostaria que desse para salvar as aulas favoritas para achar mais rápido. Também seria bom se o portal carregasse mais rápido, porque às vezes demora bastante.","Eu falaria que tem bastante coisa legal lá dentro, especialmente as aulas e as atividades. Diria para ele ter paciência no começo porque pode parecer confuso, mas depois que você aprende onde fica cada coisa fica mais fácil.","⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,Um pouco mais fácil,útil
122,10 ou 11 anos,Usa só celular,Nunca acessou,"Escola pública, zona rural",Tímido/dependente,Curiosidade própria,10 ou 11 anos,Nunca usei,Celular,Só na escola,Peço ajuda para o professor | Peço ajuda para alguém em casa,Nunca prestei atenção nisso,"😐 Normal, nem bom nem ruim","Não, é bem confuso",Nunca entrei no portal então não sei o que tem lá dentro.,Não sei onde fica o menu,Muito mais difícil de usar,"Não sei, fico perdido",Nunca tentei usar a busca,"Aulas (videoaulas, explicações) | Jogos e desafios",Eu ia pedir pro professor me mostrar onde fica essa atividade.,Não sei a diferença,Fico perdido e às vezes fecho o portal,Não sei / não prestei atenção,Nunca acontece,Depende do quanto preciso daquilo,Peço ajuda para o professor,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😅 Sem problema, sempre tem alguém para ajudar",Nunca tentei achar nada no portal porque ainda não usei nenhuma vez.,Provavelmente usaria,"Sim, um pouco","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Queria que fosse fácil de usar no celular, sem precisar de computador.",Eu diria que nunca usei e que não sei direito como funciona.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,desconhecido
123,10 ou 11 anos,Usa computador regularmente,Acessa raramente,Só na escola,Tímido/dependente,Obrigação (professor mandou),10 ou 11 anos,Já usei algumas vezes,Computador ou notebook,Só na escola,Peço ajuda para o professor | Peço ajuda para um colega,"Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,"Não sei, acho que tem coisas que o professor fala mas eu nunca consigo achar.",Tem muitas opções e fico confuso,Um pouco mais difícil de usar,Peço para alguém me mostrar onde fica,Nunca tentei usar a busca,"Atividades (exercícios, tarefas) | Aulas (videoaulas, explicações)",Eu ia pedir pro professor me mostrar onde fica.,Não sei a diferença,Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece bastante,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😞 Chateado, queria ter encontrado",Uma vez o professor mandou achar uma atividade e eu fiquei clicando em tudo e não achei. Tive que pedir ajuda pra ele.,Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,A tela inicial mostrar só o que é mais importante | Uma barra de busca mais visível e fácil de usar,Queria que fosse mais fácil de achar as coisas sem precisar pedir ajuda toda hora.,Eu diria que é um pouco difícil mas que dá pra usar se tiver alguém ajudando.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,Confuso
124,10 ou 11 anos,Usa só celular,Acessa raramente,Escola e casa,Persistente/metódico,Obrigação (professor mandou),10 ou 11 anos,Já usei algumas vezes,Celular,Tanto na escola quanto em casa,Peço ajuda para o professor | Peço ajuda para alguém em casa,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,Acho que tem as notas e provas em algum lugar mas nunca consegui achar.,Tem muitas opções e fico confuso,Muito mais difícil de usar,Peço para alguém me mostrar onde fica,Nunca tentei usar a busca,"Atividades (exercícios, tarefas) | Não importa, desde que seja fácil de achar",Ia pedir pro professor me mostrar onde tava ou ia chamar alguém em casa pra me ajudar a achar.,Não sei a diferença,"Volto para o início e começo de novo | Uso o botão ""voltar"" do navegador","Sim, já aconteceu algumas vezes",Acontece bastante,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Tento de novo mais tarde,Clico em vários lugares e não abre nada | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado","Uma vez o professor mandou fazer uma atividade de matemática no portal e eu fiquei clicando em tudo mas não achei, aí tive que pedir ajuda pro professor no dia seguinte.",Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Queria que fosse mais fácil de achar as atividades que o professor passa.,Ia falar que tem as atividades da escola lá mas que é um pouco difícil de usar no celular.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,confuso
125,10 ou 11 anos,Usa só celular,Acessa semanalmente,Escola e casa,Indiferente,Obrigação (professor mandou),10 ou 11 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Peço ajuda para o professor | Desisto e não uso aquela parte,Atividades ou tarefas para fazer | Nunca prestei atenção nisso,"😐 Normal, nem bom nem ruim",Mais ou menos claro,"Não sei, nunca procurei muito.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Não importa, desde que seja fácil de achar","Ia olhar na parte de atividades. Se não achasse, perguntava pro professor.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar,"😐 Normal, já estou acostumado",Uma vez não achei uma atividade que o professor tinha mandado fazer. Acabei perguntando pra ele onde estava.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Não sei, acho que tá ok assim.","Diria que é normal, nem bom nem ruim. É só usar quando o professor manda.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,Normal
126,10 ou 11 anos,Usa só celular,Acessa semanalmente,Escola e casa,Impaciente,Gosta do conteúdo,10 ou 11 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Desisto e não uso aquela parte,Uma lista de matérias ou disciplinas,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Acho que tem atividades de programação mas nunca achei onde ficam.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios",Ia lá na matéria de programação e tentava achar. Se não achasse logo eu desistiria.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,"Desisto quase na hora, menos de 1 minuto",Peço ajuda para um colega,Clico em vários lugares e não abre nada | A página demora para carregar,"😤 Com raiva, é muito difícil","Queria achar uma videoaula que o professor falou e fiquei clicando em tudo, não achei e fechei o portal.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,Poder fixar atalhos rápidos na tela inicial | A tela inicial mostrar só o que é mais importante,"Queria que tivesse jogos pra aprender as matérias, tipo um game mesmo.",Tem coisas legais lá mas é um pouco chato de achar as coisas.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
127,10 ou 11 anos,Usa computador às vezes,Acessa semanalmente,"Escola pública, zona rural",Impaciente,Obrigação (professor mandou),10 ou 11 anos,Uso toda semana,Computador ou notebook,Só na escola,Desisto e não uso aquela parte | Peço ajuda para o professor,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,Acho que tem as atividades de cada matéria mas nunca sei onde fica.,"Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Muito mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios","Ia clicar em tudo até achar. Se não achasse logo, pedia pro professor.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Volto para o início e começo de novo,"Sim, acontece muito",Acontece bastante,"Desisto quase na hora, menos de 1 minuto",Peço ajuda para o professor | Desisto e não faço a tarefa,Clico em vários lugares e não abre nada | A página demora para carregar | Não entendo os nomes das seções,"😤 Com raiva, é muito difícil",O professor mandou fazer uma atividade de matemática e fiquei clicando em tudo e não achei. Desisti.,Provavelmente usaria,"Sim, um pouco",Seria útil às vezes,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante",Queria que fosse mais fácil de achar as atividades que o professor passa.,"Diria que dá pra usar mas tem que ter paciência, porque às vezes não acha o que quer.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
128,10 ou 11 anos,Usa só celular,Acessa semanalmente,"Escola pública, zona rural",Impaciente,Gosta do conteúdo,10 ou 11 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Desisto e não uso aquela parte | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Já tentei achar jogos uma vez mas nunca encontrei não.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios",Ia ficar clicando em tudo até aparecer. Se não achasse pedia pro professor onde tava.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,"Desisto quase na hora, menos de 1 minuto",Peço ajuda para um colega | Desisto e não faço a tarefa,A página demora para carregar | Clico em vários lugares e não abre nada,"😤 Com raiva, é muito difícil","Uma vez fui achar uma atividade de matemática e não tinha em lugar nenhum. Fiquei clicando um tempão e não aparecia nada, aí fechei.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas",Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante,Queria que tivesse mais jogos e que carregasse mais rápido no celular.,Falaria que tem coisas legais pra aprender. Mas avisa que às vezes demora muito pra achar.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,Lento
129,10 ou 11 anos,Nunca usou computador,Acessa semanalmente,Só em casa,Tímido/dependente,Obrigação (professor mandou),10 ou 11 anos,Uso toda semana,Celular,Só em casa,Peço ajuda para o professor | Peço ajuda para alguém em casa,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,"Acho que tem as aulas lá, mas nunca consigo achar sozinha.",Tem muitas opções e fico confuso | Não sei onde fica o menu,Muito mais difícil de usar,Peço para alguém me mostrar onde fica,Nunca tentei usar a busca,"Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas)",Eu ia pedir para a minha mãe me ajudar a procurar no portal.,Não sei a diferença,Fico procurando onde clicar por um tempo | Fico perdido e às vezes fecho o portal,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para alguém em casa | Tento de novo mais tarde,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😅 Sem problema, sempre tem alguém para ajudar",Uma vez a professora mandou uma atividade no portal e eu não consegui achar. Minha mãe ficou me ajudando a procurar e a gente demorou bastante.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Queria que fosse mais fácil de saber onde ficam as atividades que a professora manda.,Eu falaria que é meio difícil de usar no começo e que precisa de ajuda para achar as coisas.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,Confuso
130,10 ou 11 anos,Usa computador regularmente,Acessa semanalmente,Escola e casa,Indiferente,Obrigação (professor mandou),10 ou 11 anos,Uso toda semana,Computador ou notebook,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para o professor,Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Acho que tem um jeito de ver minhas notas mas nunca achei.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Aulas (videoaulas, explicações)",Ia clicar nas matérias e procurar lá.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor,Clico em vários lugares e não abre nada | Fico indo e voltando sem saber onde estou,"😐 Normal, já estou acostumado",Uma vez o professor mandou achar uma atividade de matemática e fiquei clicando em tudo mas não achei. Acabei pedindo pro professor mostrar onde era.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante","Não sei, acho que tá ok.","É um portal da escola, você usa quando o professor manda.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,normal
